Price,Date,Close,High,Low,Open,Volume
Ticker,,MSFT,MSFT,MSFT,MSFT,MSFT
0,2000-01-03,35.93585205078125,36.571714312269606,34.5292476541555,36.1863432447009,53228400
1,2000-01-04,34.721927642822266,36.10926326451106,34.60631634101487,35.010955897340764,54119000
2,2000-01-05,35.088043212890625,35.87805407051199,33.71997563018045,34.259495240263334,64059600
3,2000-01-06,33.912662506103516,35.107313117113975,33.4116799918088,34.58706204457716,54976600
4,2000-01-07,34.35584259033203,34.60633387113647,33.08411762624795,33.48875738754743,62013600
5,2000-01-10,34.60633087158203,35.049507714592266,34.33657105409754,34.97243348102527,44963600
6,2000-01-11,33.71998977661133,35.22293789236886,33.508035555158344,34.37512100655692,46743600
7,2000-01-12,32.62167739868164,33.56583699261868,32.197769009567054,33.45022561376924,66532400
8,2000-01-13,33.23826217651367,33.488753427698995,31.292137840381567,32.178491498421934,83144000
9,2000-01-14,34.60633087158203,35.12658194815927,32.60240079884009,33.04557764185032,73416400
10,2000-01-18,35.55048370361328,35.91658624581851,34.45217607699758,34.47144463185049,81483600
11,2000-01-19,32.98777389526367,34.375110180578496,32.67947694297149,34.066813228286314,97568200
12,2000-01-20,32.67947006225586,33.81631483446877,32.64093295133338,33.007035505096866,56349800
13,2000-01-21,31.985803604125977,33.06484276185552,31.831655153021753,32.98776853630341,68416200
14,2000-01-24,31.215070724487305,32.583138638955575,31.080190789258037,32.00026463314339,63597600
15,2000-01-25,31.696796417236328,32.024362094496524,30.69483081620515,31.13800790896894,59823200
16,2000-01-26,30.637014389038086,31.908739514620798,30.55994013900277,31.581173951970708,49365000
17,2000-01-27,30.444313049316406,31.195786599267883,29.9818677878078,30.795964133588573,63654800
18,2000-01-28,30.290185928344727,30.906780043934443,29.98188887054987,30.25164879612037,58225400
19,2000-01-31,30.174549102783203,30.27089185215352,29.249658708828164,30.09747490328695,73194200
20,2000-02-01,31.735315322875977,31.83165811377724,30.116756435734764,30.367247692078045,70196600
21,2000-02-02,31.08018684387207,32.043614830352915,30.983844045223986,31.58116939684211,49915600
22,2000-02-03,31.9472599029541,32.12067687468304,30.86822096775179,31.465546092595925,49186000
23,2000-02-04,32.85289764404297,33.29607456240836,32.106240879405625,32.178497985660854,55365400
24,2000-02-07,32.872169494628906,32.94924374901256,32.13996407798418,32.92997518541665,40005800
25,2000-02-08,33.893394470214844,33.91266302875391,32.81435519202722,32.81435519202722,56229000
26,2000-02-09,32.06288146972656,33.73924606580001,32.02434435257545,33.73924606580001,55090000
27,2000-02-10,32.67947006225586,32.85288706140698,31.600430956426653,32.02915631543915,54527800
28,2000-02-11,30.8104248046875,32.33264091448757,30.559933546112806,32.33264091448757,115559000
29,2000-02-14,30.714080810546875,31.369211768864687,30.54066379216863,31.21024616868463,81028600
30,2000-02-15,30.386531829833984,30.829708895202522,30.251651853417474,30.752634622964518,71027600
31,2000-02-16,30.097482681274414,30.887493430270734,29.943334242445864,30.598465107467202,65202600
32,2000-02-17,30.714080810546875,30.733349368144456,29.94815564604296,30.367246773790384,80343400
33,2000-02-18,29.307472229003906,30.84895663289629,29.249666563857943,30.829688077847635,79063000
34,2000-02-22,28.92209815979004,29.943331472560775,28.613801310651706,29.326737774284105,66296200
35,2000-02-23,29.056991577148438,29.519437066439924,28.38259190526502,28.825768832502693,75847200
36,2000-02-24,29.211139678955078,29.557973791238183,28.36332296004081,29.05699118460703,69733200
37,2000-02-25,28.151355743408203,29.196674736618263,27.900864556095197,29.191857598400706,65301400
38,2000-02-28,28.228435516357422,28.401852526355523,27.168664899702364,27.823795826361852,76131800
39,2000-02-29,27.554035186767578,28.28624031760476,27.399886738170277,28.28624031760476,58437400
40,2000-03-01,27.99722671508789,29.008826441544954,27.419169728540997,27.631123956941522,106889800
41,2000-03-02,28.7872257232666,29.403819580793062,28.093557633549334,28.305511772074055,106932600
42,2000-03-03,29.63504981994629,30.48286658982772,28.941381553679665,29.211141435005576,101435200
43,2000-03-06,27.939414978027344,30.020419679839037,27.78526648159685,29.596511314655174,93609400
44,2000-03-07,28.633073806762695,30.05894693038345,28.344045470893626,29.635038704442145,135061000
45,2000-03-08,29.461645126342773,29.654330836783206,28.055039440127583,28.92212513710955,94290000
46,2000-03-09,30.829692840576172,30.829692840576172,29.288208198547363,29.384550988674164,88198800
47,2000-03-10,31.13798713684082,31.600432490358255,30.675541783323382,30.69481033971994,85589000
48,2000-03-13,30.21310806274414,30.906776360103063,30.05895955221994,30.097496679850988,61831800
49,2000-03-14,29.32673454284668,30.598458905414276,29.32673454284668,30.405773395934336,73489200
50,2000-03-15,29.40383529663086,29.789206663559177,28.883583951277625,29.15334390812745,53208000
51,2000-03-16,29.40383529663086,29.808475231905593,28.748703972852713,29.577252411748603,77300800
52,2000-03-17,30.637014389038086,30.675551514055744,29.134066513349428,29.365289263455374,81161600
53,2000-03-20,30.020408630371094,30.75261371891673,29.75064886090691,30.444316839529094,47773000
54,2000-03-21,31.677509307861328,31.793120655700235,29.75065351054616,29.827727742438768,81648800
55,2000-03-22,31.83165168762207,32.56385675065454,31.176520841750914,31.696771807589773,93975800
56,2000-03-23,34.490718841552734,34.79901576974539,32.87215996854132,32.92996564257744,148224000
57,2000-03-24,34.432918548583984,35.45415228281731,33.7777874737928,34.72194696393304,112196800
58,2000-03-27,32.082157135009766,33.3731508455477,32.04362000932206,33.22381948350786,111434000
59,2000-03-28,32.159217834472656,33.12264557067615,31.56189263802649,31.947263732507885,81114400
60,2000-03-29,33.04558181762695,33.58510152077188,32.409719310349,32.4289878711756,64363800
61,2000-03-30,31.870201110839844,33.48876029663824,31.60044124654011,32.737286388946124,64178400
62,2000-03-31,32.75654602050781,33.37313982795266,32.101415100097654,32.6794717945772,64281400
63,2000-04-03,28.01648712158203,29.750657576150385,27.746727273093622,29.114795076141988,260118200
64,2000-04-04,27.30354881286621,28.363319585419237,26.18597236181029,28.22843966891249,181244400
65,2000-04-05,26.629146575927734,27.28427753365678,26.474998115285604,27.207203303335714,82887600
66,2000-04-06,26.51353645324707,27.130130324252814,26.287130891237148,27.091593207314958,66421400
67,2000-04-07,27.45769500732422,27.5540377968236,26.205238743832236,26.821832596628287,82613600
68,2000-04-10,26.532800674438477,27.3228114425227,26.513532119119347,27.3228114425227,60685400
