,Date,Close_AAPL,Close_AMZN,Close_META,Close_MSFT,Close_ZM,High_AAPL,High_AMZN,High_META,High_MSFT,High_ZM,Low_AAPL,Low_AMZN,Low_META,Low_MSFT,Low_ZM,Open_AAPL,Open_AMZN,Open_META,Open_MSFT,Open_ZM,Volume_AAPL,Volume_AMZN,Volume_META,Volume_MSFT,Volume_ZM
0,2000-01-03,0.8430762,4.46875,,35.93586,,0.84731257,4.478125,,36.571724,,0.76587653,3.952344,,34.529255,,0.78988385,4.075,,36.18635,,535796800.0,322352000.0,,53228400.0,
1,2000-01-04,0.77199656,4.096875,,34.721947,,0.8331908,4.575,,36.109283,,0.76211107,4.0875,,34.606335,,0.8153034,4.26875,,35.010975,,512377600.0,349748000.0,,54119000.0,
2,2000-01-05,0.78329325,3.4875,,35.08805,,0.83272004,3.75625,,35.878063,,0.7757621,3.4,,33.719982,,0.78141046,3.525,,34.259502,,778321600.0,769148000.0,,64059600.0,
3,2000-01-06,0.7155084,3.278125,,33.91266,,0.8058886,3.634375,,35.107307,,0.7155084,3.2,,33.411674,,0.79929876,3.565625,,34.58706,,767972800.0,375040000.0,,54976600.0,
4,2000-01-07,0.74940157,3.478125,,34.355827,,0.7606992,3.525,,34.60632,,0.7192751,3.309375,,33.084103,,0.72680634,3.35,,33.488743,,460734400.0,210108000.0,,62013600.0,
5,2000-01-10,0.7362209,3.459375,,34.606335,,0.77011293,3.63125,,35.04951,,0.71362567,3.278125,,34.336575,,0.76823014,3.628125,,34.97244,,505064000.0,295158000.0,,44963600.0,
6,2000-01-11,0.6985625,3.3375,,33.71999,,0.74846,3.5,,35.22294,,0.6816165,3.25,,33.508034,,0.7225699,3.34375,,34.375122,,441548800.0,210654000.0,,46743600.0,
7,2000-01-12,0.65666765,3.178125,,32.621662,,0.7192749,3.4,,33.565823,,0.6514891,3.15,,32.197754,,0.7155084,3.39375,,33.45021,,976068800.0,216090000.0,,66532400.0,
8,2000-01-13,0.7286889,3.296875,,33.23827,,0.7437521,3.359375,,33.48876,,0.69667965,3.15625,,31.292145,,0.7116248,3.246875,,32.178497,,1032684800.0,208962000.0,,83144000.0,
9,2000-01-14,0.75646186,3.2125,,34.606335,,0.77011293,3.43125,,35.126587,,0.74845994,3.2,,32.602406,,0.753167,3.3375,,33.04558,,390376000.0,137072000.0,,73416400.0,
10,2000-01-18,0.7828228,3.20625,,35.5505,,0.79835755,3.259375,,35.916603,,0.7564619,3.15,,34.45219,,0.7606991,3.171875,,34.47146,,459177600.0,107698000.0,,81483600.0,
11,2000-01-19,0.8025937,3.340625,,32.98776,,0.819069,3.375,,34.375095,,0.7785863,3.15,,32.679462,,0.7955324,3.20625,,34.0668,,597643200.0,164910000.0,,97568200.0,
12,2000-01-20,0.854845,3.2375,,32.67948,,0.91509783,3.35,,33.816326,,0.854845,3.196875,,32.640945,,0.86990815,3.346875,,33.007046,,1831132800.0,119560000.0,,56349800.0,
