Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,META,MSFT,ZM,AAPL,AMZN,META,MSFT,ZM,AAPL,AMZN,META,MSFT,ZM,AAPL,AMZN,META,MSFT,ZM,AAPL,AMZN,META,MSFT,ZM
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-03,0.8430766463279724,4.46875,,35.93587112426758,,0.8473129824693182,4.478125095367432,,36.57173372324926,,0.7658768916619934,3.9523439407348633,,34.529265981065684,,0.7898842713236173,4.074999809265137,,36.18636245113915,,535796800,322352000,,53228400,
2000-01-04,0.7719968557357788,4.096875190734863,,34.72195053100586,,0.833191138584021,4.574999809265137,,36.10928706720587,,0.7621113338093426,4.087500095367432,,34.60633915298919,,0.8153037097085155,4.268750190734863,,35.01097897604753,,512377600,349748000,,54119000,
2000-01-05,0.7832934856414795,3.487499952316284,,35.088050842285156,,0.8327202824380401,3.7562499046325684,,35.878061871683116,,0.7757622951639765,3.4000000953674316,,33.71998296210819,,0.7814106754522704,3.5250000953674316,,34.25950268950192,,778321600,769148000,,64059600,
2000-01-06,0.7155085206031799,3.278125047683716,,33.91267776489258,,0.8058887358490333,3.6343750953674316,,35.10732891342857,,0.7155085206031799,3.200000047683716,,33.41169502518394,,0.7992989255776866,3.565624952316284,,34.58707760680806,,767972800,375040000,,54976600,
2000-01-07,0.7494013905525208,3.4781250953674316,,34.355831146240234,,0.7606990553493176,3.5250000953674316,,34.60632234360486,,0.7192749715785667,3.309375047683716,,33.084106605773684,,0.7268061615175863,3.3499999046325684,,33.48874623228577,,460734400,210108000,,62013600,
2000-01-10,0.736221194267273,3.4593749046325684,,34.606327056884766,,0.7701132438596179,3.6312499046325684,,35.04950385104309,,0.7136259582260279,3.278125047683716,,34.336567269136225,,0.7682304332212103,3.628124952316284,,34.972429625972076,,505064000,295158000,,44963600,
2000-01-11,0.6985623836517334,3.3375000953674316,,33.719970703125,,0.7484598835214782,3.5,,35.222917968750004,,0.6816163921285068,3.25,,33.5080166015625,,0.7225697538588923,3.34375,,34.3751015625,,441548800,210654000,,46743600,
2000-01-12,0.6566677689552307,3.1781249046325684,,32.62166213989258,,0.7192749882400596,3.4000000953674316,,33.565821292198976,,0.6514891990063875,3.1500000953674316,,32.19775394906113,,0.7155085132950346,3.393749952316284,,33.450209967426765,,976068800,216090000,,66532400,
