,Date,Close_AAPL,Close_AMZN,Close_META,Close_MSFT,Close_ZM,High_AAPL,High_AMZN,High_META,High_MSFT,High_ZM,Low_AAPL,Low_AMZN,Low_META,Low_MSFT,Low_ZM,Open_AAPL,Open_AMZN,Open_META,Open_MSFT,Open_ZM,Volume_AAPL,Volume_AMZN,Volume_META,Volume_MSFT,Volume_ZM,Close_AAPL_Moving_Avg_50,Close_AAPL_Moving_Avg_200
0,2018-01-02,40.52435,59.4505,180.72963,79.792915,,40.53376,59.5,180.88902,80.12713,,39.818596,58.5255,176.87436,79.37515,,40.030323,58.6,177.00386,79.96002,,102223600.0,53890000.0,18151900.0,22483800.0,,40.52435,40.52435
1,2018-01-03,40.51728,60.21,183.96727,80.164276,,41.063065,60.2745,184.07686,80.31282,,40.453766,59.415,180.63998,79.8115,,40.587856,59.415,181.1879,79.89505,,118071600.0,62176000.0,16886600.0,26061400.0,,40.520815,40.520815
2,2018-01-04,40.705494,60.4795,183.62856,80.869804,,40.809006,60.7935,185.5014,81.38041,,40.482006,60.233,183.39943,80.368484,,40.59022,60.25,184.19638,80.387054,,89738400.0,60442000.0,13880900.0,21912000.0,,40.58237466666667,40.58237466666667
3,2018-01-05,41.168926,61.457,186.13898,81.87245,,41.255966,61.457,186.18878,82.07669,,40.710186,60.5,184.22627,81.16689,,40.801937,60.8755,184.88376,81.38042,,94640000.0,70894000.0,13574500.0,23407100.0,,40.729012499999996,40.729012499999996
4,2018-01-08,41.016026,62.3435,187.56352,81.95598,,41.31244,62.654,188.18115,82.23449,,40.917217,61.6015,185.62094,81.32469,,41.016026,61.8,186.48763,81.88171,,82271200.0,85590000.0,17994700.0,22113000.0,,40.7864152,40.7864152
5,2018-01-09,41.011303,62.635,187.15508,81.90031,,41.183037,62.9665,188.08154,82.37377,,40.794872,62.088,186.38802,81.56609,,41.063057,62.845,187.98192,82.29951,,86336000.0,73226000.0,12393100.0,19484300.0,,40.8238965,40.8238965
6,2018-01-10,41.001907,62.7165,187.1252,81.52895,,41.00426,62.7165,187.17502,81.87245,,40.698437,61.8615,184.92361,81.14833,,40.736076,62.2575,186.22862,81.566086,,95839600.0,53720000.0,10529900.0,18652200.0,,40.84932657142857,40.84932657142857
7,2018-01-11,41.234802,63.834,187.05545,81.77033,,41.284206,63.8385,187.68304,81.81675,,41.048954,62.823,186.66693,80.9905,,41.07248,62.987,187.68304,81.81675,,74670800.0,62500000.0,9588600.0,17808900.0,,40.897511,40.897511
8,2018-01-12,41.660603,65.26,178.68741,83.18142,,41.72412,65.288,180.78938,83.348526,,41.321842,63.6695,176.7249,82.1138,,41.44652,63.6695,177.3824,82.31804,,101672400.0,108874000.0,77551300.0,24271500.0,,40.982299,40.982299
9,2018-01-16,41.448887,65.243,177.71117,82.02097,,42.20169,66.997,181.05838,84.28619,,41.437122,64.615,177.36249,81.70533,,41.851166,66.15,180.80933,83.64561,,118263600.0,144414000.0,36183800.0,36599700.0,,41.0289578,41.0289578
10,2018-01-17,42.13347,64.75,176.92416,83.682755,,42.168755,65.7,178.63762,83.81272,,41.185406,64.044,175.13101,82.39233,,41.439476,65.612,178.57784,82.69869,,137547200.0,105076000.0,27992400.0,25621200.0,,41.129368,41.129368
11,2018-01-18,42.17111,64.666,179.11578,83.64562,,42.36872,65.23,180.29129,84.17479,,41.933506,64.201,176.40613,83.237144,,42.196987,64.6975,177.45213,83.36712,,124773600.0,80538000.0,23304900.0,24159700.0,,41.216179833333335,41.216179833333335
12,2018-01-19,41.982895,64.729,180.60011,83.55277,,42.246376,65.65,181.67601,84.11907,,41.73588,64.6495,179.48438,83.23713,,42.01818,65.6,180.1618,83.68274,,129700400.0,91570000.0,26826500.0,36875000.0,,41.27515792307692,41.27515792307692
13,2018-01-22,41.639427,66.3655,184.66458,85.047455,,41.82292,66.3725,184.68451,85.05674,,41.54533,64.833,179.72346,83.31141,,41.710003,64.8585,180.11198,83.55279,,108434400.0,82802000.0,21059500.0,23601600.0,,41.301177142857135,41.301177142857135
14,2018-01-23,41.648853,68.127,188.62947,85.31666,,42.21346,68.245,188.8287,85.688,,41.597103,66.867,184.84393,84.982445,,41.710022,66.9045,185.34203,85.31666,,130756400.0,103386000.0,25678800.0,23412800.0,,41.32435553333333,41.32435553333333
15,2018-01-24,40.985428,67.8755,185.84012,85.24243,,41.710003,69.408,189.93448,86.7371,,40.745472,66.9,185.81023,85.01962,,41.69824,68.741,189.1674,85.92014,,204420400.0,136150000.0,24334500.0,33277500.0,,41.303172562499995,41.303172562499995
16,2018-01-25,40.25381,68.8975,186.76654,85.71588,,41.157173,68.917,187.9022,86.56069,,40.117363,67.881,185.8899,85.344536,,41.05366,68.4,187.23476,85.84585,,166116000.0,95060000.0,17377700.0,26383200.0,,41.24144535294118,41.24144535294118
17,2018-01-26,40.34791,70.1025,189.27698,87.32195,,40.463184,70.1265,189.27698,87.32195,,40.006798,69.0455,186.09912,85.947975,,40.463184,69.6005,187.03554,86.449295,,156572000.0,97146000.0,17759200.0,29172200.0,,41.191804499999996,41.191804499999996
18,2018-01-29,39.51277,70.884,185.27228,87.191986,,40.030323,71.5695,188.1214,88.61238,,39.3034,70.022,184.92361,87.00632,,40.030323,70.459,188.03174,88.32459,,202561600.0,114038000.0,20453200.0,31569900.0,,41.103434263157894,41.103434263157894
19,2018-01-30,39.279877,71.891,186.40791,86.096504,,39.373974,71.9625,187.46388,86.95061,,38.745857,69.6,181.14801,85.50235,,38.941116,70.1585,186.906,86.616394,,184192800.0,117438000.0,20858600.0,38635100.0,,41.0122564,41.0122564
20,2018-01-31,39.38808,72.5445,186.1788,88.20391,,39.625687,73.629,189.10762,88.56597,,39.1693,72.502,184.51515,86.81136,,39.25634,72.565,187.65317,87.03417,,129915600.0,128494000.0,43275100.0,48756300.0,,40.934914666666664,40.934914666666664
