Year,Month,Monthly_Change_AAPL,Monthly_Change_MSFT,Monthly_Change_AMZN,Monthly_Change_META,Monthly_Change_ZM
2000,1,,,,,
2000,2,0.06235401250000017,-2.409532549999998,0.22062499999999918,,
2000,3,0.12701735402173908,0.1588401456521744,-0.2882065217391303,,
2000,4,-0.04065182757437069,-6.414224590389026,-0.5161684782608686,,
2000,5,-0.1679178216746411,-3.680711059808605,-0.13405540909090918,,
2000,6,-0.019604737727273003,1.8418976818181783,-0.4112570909090909,,
2000,7,0.07013003845454568,0.7933426727272774,-0.4342187499999999,,
2000,8,-0.036868273652174044,-1.401328921739136,-0.0339198369565219,,
2000,9,0.06693622965217394,-1.7153652782608653,0.2809510869565215,,
2000,10,-0.5299526385454546,-2.1294366772727287,-0.5469034090909091,,
2000,11,-0.015481025454545438,2.9624372391774827,-0.030492400432900357,,
2000,12,-0.06895075499999997,-5.293669211904756,-0.4643229404761904,,
2001,1,0.052206267380952354,1.461061640476185,-0.15386905952380958,,
2001,2,0.018031690776942444,1.0931880200501318,-0.21549771679197982,,
2001,3,0.016877866387559726,-1.116596755980865,-0.12974401913875588,,
2001,4,0.029613924954545512,2.0542701954545493,0.12040454545454549,,
2001,5,0.012251877772727238,2.2831260772727298,0.12476590909090901,,
2001,6,-0.03013274655844156,0.25959708225107647,-0.08266233766233777,,
2001,7,-0.001033031904761894,-0.6958709523809503,0.03121428571428586,,
2001,8,-0.0424162477225673,-1.6182258136645942,-0.2181428571428573,,
2001,9,-0.03079732475362318,-3.0318019768115967,-0.14883333333333326,,
2001,10,0.010848231710144929,1.3572127159420297,0.010181159420289798,,
2001,11,0.03505043886128367,2.1565213126293976,0.056866459627329224,,
2001,12,0.03081894209523811,0.8772867047619037,0.11443571428571431,,
2002,1,0.013732763142857096,-0.24968265714285565,0.05030238095238104,,
2002,2,0.01824523075187967,-2.0677762481202997,0.04962656641604013,,
2002,3,0.006395931605263139,0.5405907552631568,0.11242105263157898,,
2002,4,0.0047757091363636595,-1.9217826045454522,-0.03847727272727308,,
2002,5,-0.006689506818181756,-0.8789271590909102,0.17772727272727307,,
2002,6,-0.06865801881818184,0.23460038863635901,-0.035700000000000065,,
2002,7,-0.04836349572727269,-1.0728887749999956,-0.13055000000000028,,
2002,8,-0.01774063227272732,-0.2411696136363659,-0.011613636363636104,,
2002,9,-0.009702074500000046,-0.6508715613636298,0.08701363636363635,,
2002,10,0.0018893016739130741,0.7262264358695614,0.10446956521739126,,
2002,11,0.01977167832608695,2.1173500891304347,0.14863043478260862,,
2002,12,-0.018852874785714263,-0.647724135714288,0.024619047619047985,,
2003,1,-0.0035578076190476426,-0.42897266666666667,-0.016690476190476478,,
2003,2,0.002838708220551378,-1.533798152882202,-0.001770676691729367,,
2003,3,-0.0009307186967418279,0.47666520050124817,0.18212781954887225,,
2003,4,-0.011347675238095184,0.37350245238095425,0.05659523809523814,,
2003,5,0.059069910476190396,0.05979564285714112,0.2962619047619044,,
2003,6,0.006111258571428635,-0.07776585714285744,0.15421428571428608,,
2003,7,0.03127314811688309,1.0047608030303028,0.17952922077922073,,
2003,8,0.0056464609307359526,-0.47072085064934654,0.16720887445887422,,
2003,9,0.022982289999999905,1.5290612857142811,0.26226190476190503,,
2003,10,0.012905560828157414,-0.045503397515521016,0.4312732919254656,,
2003,11,-0.02119447077803205,-1.6038037791762054,-0.16686727688787117,,
2003,12,-0.013985764162679437,0.6489062416267952,-0.07167224880382816,,
2004,1,0.032052645636363564,0.7544306136363623,0.132759090909091,,
2004,2,4.8713789473797675e-05,-0.6811083552631558,-0.43648157894736883,,
2004,3,0.051117925949656806,-0.9337239599542304,-0.14310755148741405,,
2004,4,0.020002897784678952,0.34271625569357944,0.20888198757763954,,
2004,5,-0.006751152023809492,0.04543923452381193,-0.1634678571428574,,
2004,6,0.06407810821428583,0.8790431940476182,0.37970595238095317,,
2004,7,-0.0006456347619048786,0.5112604285714255,-0.24273809523809575,,
2004,8,0.00692303450216436,-0.4884201385281379,-0.4034383116883111,,
2004,9,0.07436880930735945,-0.0010884329004312576,0.13070021645021557,,
2004,10,0.11567206809523811,0.4818742857142837,-0.11411904761904723,,
2004,11,0.19732983380952385,0.912035095238096,0.004404761904762244,,
2004,12,0.10595365060606043,0.36461464285714484,0.11549134199134148,,
2005,1,0.07124755372727287,-0.5156288999999994,0.08481818181818168,,
2005,2,0.2184728574210526,-0.3149284421052698,-0.3079473684210521,,
2005,3,0.003966813397129121,-0.7393691578947355,-0.0858026315789473,,
2005,4,-0.09841704848484856,0.03538771428571508,-0.03908333333333336,,
2005,5,-0.04245004761904747,0.5064716190476233,0.047714285714285376,,
2005,6,0.008104377922077965,-0.11152019696970328,0.02173268398268413,,
2005,7,0.10002320636363637,0.18662756363636746,0.125636363636364,,
2005,8,0.12515291260869565,1.0682004739130413,0.3309239130434771,,
2005,9,0.17923996024844757,-0.5950987453416126,-0.05938819875776291,,
2005,10,0.08807048095238068,-0.8992742857142844,0.030333333333333545,,
2005,11,0.28976140952380924,1.7824209523809529,0.05328571428571438,,
2005,12,0.2847257190476191,-0.15537352380952285,0.20369047619047587,,
2006,1,0.14469409761904828,-0.07019832142857751,-0.17787023809523816,,
2006,2,-0.24978202894736956,-0.021055302631577177,-0.3201197368421054,,
2006,3,-0.1652064993135003,0.20867135697940498,-0.12227917620137263,,
2006,4,0.08943008878718572,-0.0669023569794085,-0.0026155606407323173,,
2006,5,-0.006670305980862157,-2.620928401913865,-0.10980143540669896,,
2006,6,-0.24320481818181805,-0.5569411590909201,0.05700000000000016,,
2006,7,-0.02527739136363616,0.6372052136363688,-0.10053409090909082,,
2006,8,0.2694355049999999,1.1911770086956501,-0.27302717391304365,,
2006,9,0.2121846000000005,1.078985591304349,0.18715217391304373,,
2006,10,0.09848141363636254,1.1740439818181834,0.11954545454545396,,
2006,11,0.2476067768398278,0.8705992467532475,0.326311688311689,,
2006,12,0.03394502452380932,0.27680042142857175,-0.05728214285714328,,
2007,1,0.07260552499999928,0.6272641999999955,-0.08742500000000009,,
2007,2,-0.09500786631578872,-0.9156774184210512,0.0966131578947369,,
2007,3,0.14687636267942583,-1.0400197224880365,-0.0419677033492829,,
2007,4,0.09344740363636328,0.73765994090909,0.398679545454546,,
2007,5,0.4549267509090913,1.491809968181819,0.8964795454545458,,
2007,6,0.3883261948051948,-0.44054053246753,0.28999783549783587,,
2007,7,0.4339961809523798,0.04004809523809172,0.19626190476190475,,
2007,8,-0.18851710579710002,-1.0088974679089056,0.12685093167701877,,
2007,9,0.36864636544622353,0.204493876430206,0.5820137299771164,,
2007,10,0.8956797519450808,1.6537290800915336,0.1600080091533176,,
2007,11,0.08579036935817719,2.4198955590062177,-0.43008695652173934,,
2007,12,0.4774144523809536,0.35792952142856294,0.4269000000000007,,
2008,1,-0.9076235619047628,-1.0500081880952337,-0.4840666666666671,,
2008,2,-1.061215438095238,-3.62019026190476,-0.48195833333333393,,
2008,3,0.17081827999999977,-0.017499350000001357,-0.18479999999999963,,
2008,4,0.8243948199999993,0.7013955772727307,0.4250159090909098,,
2008,5,0.800533800000002,-0.10373510822511278,0.012909090909090981,,
2008,6,-0.18900921428571404,-0.7655603809523832,0.12419047619047507,,
2008,7,-0.32347243116883195,-1.5010361017315965,-0.3695768398268391,,
2008,8,0.10004760259740308,1.0283224826839792,0.49314826839826775,,
2008,9,-0.8985641142857155,-0.8078216190476191,-0.31761904761904747,,
2008,10,-1.2725339515527958,-1.95860152173913,-0.9766428571428567,,
2008,11,-0.1525432807780307,-2.115336794050341,-0.599842105263158,,
2008,12,-0.07221019234449777,-0.7043136387559805,0.25250119617224875,,
2009,1,-0.08340965318181848,-0.4443197204545495,0.1426909090909092,,
2009,2,0.15964737710526355,-0.4967924828947332,0.5554657894736841,,
2009,3,0.10335809880382696,-0.8955127511961738,0.25466148325358917,,
2009,4,0.6783312829004333,1.8517430995670967,0.5045941558441562,,
2009,5,0.2448711011904776,0.5047759595238119,-0.04604642857142949,,
2009,6,0.34281723863636326,2.215059077272727,0.2926340909090914,,
2009,7,0.29493997727272614,0.5526601818181867,0.003454545454545155,,
2009,8,0.5110178876623381,0.2368846861471816,0.023386363636364038,,
2009,9,0.346643214285713,0.9584135714285686,0.13314285714285745,,
2009,10,0.4532468707792221,0.9922947424242423,0.7250162337662323,,
2009,11,0.22560798636363533,2.1101062909090906,1.36721590909091,,
2009,12,-0.04113688181818098,0.8603514818181885,0.3153977272727282,,
2010,1,0.2639311660287085,-0.08947623444976571,-0.37361483253588545,,
2010,2,-0.2687137315789476,-1.3028621052631557,-0.4701052631578966,,
2010,3,0.7415703647597258,0.7360954187643038,0.6438169336384449,,
2010,4,0.8356461111801243,0.9580875486542446,0.5086304347826092,,
2010,5,0.009427306428571036,-1.7823340595238122,-0.6732000000000022,,
2010,6,0.2917452740909079,-1.997761204545455,-0.29693636363636333,,
